INSPIREID;NATCODE;NAMEUNIT;CODNUT1;CODNUT2;CODNUT3;CODIGOINE;Shape__Are;Shape__Len;AREA_MPIO
ES.IGN.SIGLIM34143030001;34143030001;Abanilla;ES6;ES62;ES620;30001;382694222,362999975681305;77008,165056700003333;235,611409197999990
ES.IGN.SIGLIM34143030020;34143030020;Fortuna;ES6;ES62;ES620;30020;242198752,597000002861023;80813,984138500003610;149,323342505999989
ES.IGN.SIGLIM34143030022;34143030022;Jumilla;ES6;ES62;ES620;30022;1583183824,380000114440918;171743,004407000000356;969,006903457000021
ES.IGN.SIGLIM34143030030;34143030030;Murcia;ES6;ES62;ES620;30030;1426074626,450000047683716;273690,819728999980725;885,962149628000020
ES.IGN.SIGLIM34104646001;34104646001;Ademuz;ES5;ES52;ES523;46001;171669004,442000001668930;79629,097290699995938;100,417331228999998
ES.IGN.SIGLIM34104646002;34104646002;Ador;ES5;ES52;ES523;46002;22853624,068599998950958;44153,569204300001729;13,812652957599999
ES.IGN.SIGLIM34104646003;34104646003;Atzeneta d'Albaida;ES5;ES52;ES523;46003;9993933,490480000153184;21557,674097700000857;6,055768169260000
ES.IGN.SIGLIM34104646004;34104646004;Agullent;ES5;ES52;ES523;46004;26801604,847800001502037;25581,374090500001330;16,239023551999999
ES.IGN.SIGLIM34104646005;34104646005;Alaquàs;ES5;ES52;ES523;46005;6551959,062029999680817;15812,586463999999978;3,901394847930000
ES.IGN.SIGLIM34104646006;34104646006;Albaida;ES5;ES52;ES523;46006;58471241,787399999797344;51800,629366200002551;35,414215678500000
ES.IGN.SIGLIM34104646007;34104646007;Albal;ES5;ES52;ES523;46007;12291704,335100000724196;27283,478032600000006;7,331453191300000
ES.IGN.SIGLIM34104646008;34104646008;Albalat de la Ribera;ES5;ES52;ES523;46008;23948687,957199998199940;24952,205263299998478;14,354352536900000
ES.IGN.SIGLIM34104646009;34104646009;Albalat dels Sorells;ES5;ES52;ES523;46009;7782395,818129999563098;27323,916700500001753;4,621097860000000
ES.IGN.SIGLIM34104646010;34104646010;Albalat dels Tarongers;ES5;ES52;ES523;46010;36078994,112499997019768;37924,504804099997273;21,345411909700001
ES.IGN.SIGLIM34104646011;34104646011;Alberic;ES5;ES52;ES523;46011;44571844,684600003063679;34499,099694199998339;26,792338145500000
ES.IGN.SIGLIM34104646012;34104646012;Alborache;ES5;ES52;ES523;46012;45804237,249799996614456;38868,426211799996963;27,331867783700002
ES.IGN.SIGLIM34143030035;34143030035;San Javier;ES6;ES62;ES620;30035;120646177,869000002741814;157235,070127999992110;75,178480238099993
ES.IGN.SIGLIM34143030036;34143030036;San Pedro del Pinatar;ES6;ES62;ES620;30036;35915332,871500000357628;43413,542840399997658;22,365739455600000
ES.IGN.SIGLIM34143030043;34143030043;Yecla;ES6;ES62;ES620;30043;993244194,684999942779541;127911,915091999995639;605,628568052999981
ES.IGN.SIGLIM34143030901;34143030901;Santomera;ES6;ES62;ES620;30901;71458862,678200006484985;36543,402287700002489;44,197643846900000
ES.IGN.SIGLIM34104646013;34104646013;Alboraia/Alboraya;ES5;ES52;ES523;46013;13997302,144799999892712;19708,724124600001232;8,323177118989999
ES.IGN.SIGLIM34104646014;34104646014;Albuixech;ES5;ES52;ES523;46014;7398719,866969999857247;12360,796876899999916;4,394138531670000
ES.IGN.SIGLIM34104646015;34104646015;Alcàsser;ES5;ES52;ES523;46015;15090631,421399999409914;16538,609787699999288;9,003873245010000
ES.IGN.SIGLIM34104646016;34104646016;Alcàntera de Xúquer;ES5;ES52;ES523;46016;5522893,406890000216663;20625,291130800000246;3,324749497150000
ES.IGN.SIGLIM34104646017;34104646017;Alzira;ES5;ES52;ES523;46017;183907763,451000005006790;120866,754440000004251;110,489771755000007
ES.IGN.SIGLIM34104646018;34104646018;Alcublas;ES5;ES52;ES523;46018;73816408,272300004959106;35352,466413200003444;43,512703244800001
ES.IGN.SIGLIM34104646019;34104646019;l'Alcúdia;ES5;ES52;ES523;46019;39456566,788199998438358;43490,116998700003023;23,667822942299999
ES.IGN.SIGLIM34104646020;34104646020;l'Alcúdia de Crespins;ES5;ES52;ES523;46020;8562114,403869999572635;14478,763712899999518;5,167997279690000
ES.IGN.SIGLIM34104646021;34104646021;Aldaia;ES5;ES52;ES523;46021;26961447,013999998569489;29018,885776600000099;16,050624323499999
ES.IGN.SIGLIM34104646022;34104646022;Alfafar;ES5;ES52;ES523;46022;16839273,366599999368191;34037,640080500001204;10,040965492000000
ES.IGN.SIGLIM34104646023;34104646023;Alfauir;ES5;ES52;ES523;46023;10294059,240299999713898;17713,735902899999928;6,220595494120000
ES.IGN.SIGLIM34104646024;34104646024;Alfara de la Baronia;ES5;ES52;ES523;46024;19846230,384700000286102;25919,633582099999330;11,709808487200000
ES.IGN.SIGLIM34104646025;34104646025;Alfara del Patriarca;ES5;ES52;ES523;46025;3334940,782790000084788;8694,529558030000771;1,980864793050000
ES.IGN.SIGLIM34104646026;34104646026;Alfarp;ES5;ES52;ES523;46026;34392689,718299999833107;29803,608783399999083;20,577937550300000
ES.IGN.SIGLIM34104646027;34104646027;Alfarrasí;ES5;ES52;ES523;46027;10550713,944099999964237;18728,111379699999816;6,379889175500000
ES.IGN.SIGLIM34104646028;34104646028;Algar de Palancia;ES5;ES52;ES523;46028;22296811,661600001156330;21634,610850100001699;13,150237008400000
ES.IGN.SIGLIM34104646029;34104646029;Algemesí;ES5;ES52;ES523;46029;68885922,911599993705750;37534,856140000003506;41,296324029499999
ES.IGN.SIGLIM34104646030;34104646030;Algímia d'Alfara;ES5;ES52;ES523;46030;24475855,276700001209974;28982,493048399999680;14,452444826000001
ES.IGN.SIGLIM34104646031;34104646031;Alginet;ES5;ES52;ES523;46031;40209829,653300002217293;28515,999248399999487;24,073920173400001
ES.IGN.SIGLIM34104646032;34104646032;Almàssera;ES5;ES52;ES523;46032;4608531,906940000131726;9105,104591519999303;2,739290580330000
ES.IGN.SIGLIM34104646033;34104646033;Almiserà;ES5;ES52;ES523;46033;12311183,337899999693036;20841,151779100000567;7,440397574650000
ES.IGN.SIGLIM34104646034;34104646034;Almoines;ES5;ES52;ES523;46034;3506383,235230000223964;10419,957279899999776;2,117967509780000
ES.IGN.SIGLIM34104646035;34104646035;Almussafes;ES5;ES52;ES523;46035;17993911,989000000059605;25939,868204900001729;10,761768146400000
ES.IGN.SIGLIM34104646036;34104646036;Alpuente;ES5;ES52;ES523;46036;235365249,654000014066696;67150,658574600005522;138,325910052000012
ES.IGN.SIGLIM34104646037;34104646037;l'Alqueria de la Comtessa;ES5;ES52;ES523;46037;3563792,159640000201762;11721,917229599999700;2,153316460250000
ES.IGN.SIGLIM34104646038;34104646038;Andilla;ES5;ES52;ES523;46038;242274207,701999992132187;73236,138126200006809;142,777991222999987
ES.IGN.SIGLIM34104646039;34104646039;Anna;ES5;ES52;ES523;46039;35579144,501900002360344;32728,000890100000106;21,449015452400001
ES.IGN.SIGLIM34104646040;34104646040;Antella;ES5;ES52;ES523;46040;29226837,201000001281500;28548,105128700000932;17,579134829299999
ES.IGN.SIGLIM34104646041;34104646041;Aras de los Olmos;ES5;ES52;ES523;46041;129458793,539000004529953;52349,736579800002801;76,036937106699995
ES.IGN.SIGLIM34104646042;34104646042;Aielo de Malferit;ES5;ES52;ES523;46042;44192412,848700001835823;34030,238414799998282;26,739307349699999
ES.IGN.SIGLIM34104646043;34104646043;Aielo de Rugat;ES5;ES52;ES523;46043;12939999,393100000917912;23053,505998199998430;7,830769062800000
ES.IGN.SIGLIM34104646044;34104646044;Ayora;ES5;ES52;ES523;46044;740849141,743000030517578;132972,603075999999419;446,574002201999974
ES.IGN.SIGLIM34104646045;34104646045;Barxeta;ES5;ES52;ES523;46045;47301888,502599999308586;34765,094665800002986;28,517594385399999
ES.IGN.SIGLIM34104646046;34104646046;Barx;ES5;ES52;ES523;46046;26707582,218499999493361;24373,260988599999109;16,102313265999999
ES.IGN.SIGLIM34104646047;34104646047;Bèlgida;ES5;ES52;ES523;46047;28513123,421900000423193;30906,200558900000033;17,261906068700000
ES.IGN.SIGLIM34104646048;34104646048;Bellreguard;ES5;ES52;ES523;46048;4703729,058260000310838;14702,158282200000031;2,840579319830000
ES.IGN.SIGLIM34104646049;34104646049;Bellús;ES5;ES52;ES523;46049;15794115,967700000852346;20643,377842900001269;9,539978916720001
ES.IGN.SIGLIM34104646050;34104646050;Benagéber;ES5;ES52;ES523;46050;118172883,672999992966652;46405,837291099996946;69,822389433699996
ES.IGN.SIGLIM34104646051;34104646051;Benaguasil;ES5;ES52;ES523;46051;42820223,670999996364117;42758,064609399996698;25,394216680800000
ES.IGN.SIGLIM34104646052;34104646052;Benavites;ES5;ES52;ES523;46052;7228684,743579999543726;18317,452232600000571;4,269771141550000
ES.IGN.SIGLIM34104646053;34104646053;Beneixida;ES5;ES52;ES523;46053;5310017,229580000042915;15836,680203399999300;3,196171782120000
ES.IGN.SIGLIM34104646054;34104646054;Benetússer;ES5;ES52;ES523;46054;1306513,024720000103116;4892,422762930000317;0,778624018316000
ES.IGN.SIGLIM34104646055;34104646055;Beniarjó;ES5;ES52;ES523;46055;4553553,961269999854267;11690,503230300000723;2,751328533910000
ES.IGN.SIGLIM34104646056;34104646056;Beniatjar;ES5;ES52;ES523;46056;18776105,658599998801947;22748,560606200000620;11,371151473699999
ES.IGN.SIGLIM34104646057;34104646057;Benicolet;ES5;ES52;ES523;46057;18679733,490299999713898;25183,681257200001710;11,291338005000000
ES.IGN.SIGLIM34104646058;34104646058;Benifairó de les Valls;ES5;ES52;ES523;46058;7354095,118010000325739;14538,071111799999926;4,344981466420000
ES.IGN.SIGLIM34104646059;34104646059;Benifairó de la Valldigna;ES5;ES52;ES523;46059;33549627,063999999314547;34783,972597699998005;20,198527740399999
ES.IGN.SIGLIM34104646060;34104646060;Benifaió;ES5;ES52;ES523;46060;33687462,919799998402596;26091,639698099999805;20,154677610299998
ES.IGN.SIGLIM34104646061;34104646061;Beniflá;ES5;ES52;ES523;46061;1034194,680509999976493;5014,598981760000243;0,625009454280000
ES.IGN.SIGLIM34104646062;34104646062;Benigànim;ES5;ES52;ES523;46062;55374230,316500000655651;35344,505861500001629;33,438976761900001
ES.IGN.SIGLIM34104646063;34104646063;Benimodo;ES5;ES52;ES523;46063;20876871,487799998372793;29716,159513700000389;12,521650428799999
ES.IGN.SIGLIM34104646064;34104646064;Benimuslem;ES5;ES52;ES523;46064;6941364,173650000244379;13465,042905800000881;4,170131101140000
ES.IGN.SIGLIM34104646065;34104646065;Beniparrell;ES5;ES52;ES523;46065;6063398,844390000216663;11597,817899199999374;3,617552299380000
ES.IGN.SIGLIM34104646066;34104646066;Benirredrà;ES5;ES52;ES523;46066;643960,236671000020579;3880,384661959999903;0,388794005676000
ES.IGN.SIGLIM34104646067;34104646067;Benissanó;ES5;ES52;ES523;46067;3854955,230409999843687;8302,498733379999976;2,284729845510000
ES.IGN.SIGLIM34104646068;34104646068;Benissoda;ES5;ES52;ES523;46068;6666423,250610000453889;13200,183882799999992;4,040119724060000
ES.IGN.SIGLIM34104646069;34104646069;Benissuera;ES5;ES52;ES523;46069;3505176,457080000080168;7795,889132610000161;2,119419608320000
ES.IGN.SIGLIM34104646070;34104646070;Bétera;ES5;ES52;ES523;46070;126646436,552000001072884;45467,780670799998916;75,093859569800003
ES.IGN.SIGLIM34101212025;34101212025;Benafigos;ES5;ES52;ES522;12025;61223584,295400001108646;49041,258159500001057;35,600055182200002
ES.IGN.SIGLIM34101212026;34101212026;Benassal;ES5;ES52;ES522;12026;137309927,611999988555908;68627,281589699996402;79,576902354799998
ES.IGN.SIGLIM34104646147;34104646147;Llíria;ES5;ES52;ES523;46147;385497406,726999998092651;139072,590427999995882;227,983266512999990
ES.IGN.SIGLIM34101212032;34101212032;Borriana/Burriana;ES5;ES52;ES522;12032;79830242,646799996495247;48210,087733200001821;46,940629821900004
ES.IGN.SIGLIM34101212033;34101212033;Cabanes;ES5;ES52;ES522;12033;225619975,558999985456467;67108,308343099997728;131,688648860999990
ES.IGN.SIGLIM34101212034;34101212034;Càlig;ES5;ES52;ES522;12034;47507170,502899996936321;32663,417178700001386;27,466413329900000
ES.IGN.SIGLIM34101212036;34101212036;Canet lo Roig;ES5;ES52;ES522;12036;119114666,547000005841255;59518,471107799996389;68,675543111899998
ES.IGN.SIGLIM34101212037;34101212037;Castell de Cabres;ES5;ES52;ES522;12037;53456295,965999998152256;37095,881887800002005;30,721395882300001
ES.IGN.SIGLIM34094343004;34094343004;Alcanar;ES5;ES51;ES514;43004;81567665,374799996614456;61771,216553899997962;47,011062148199997
ES.IGN.SIGLIM34101212084;34101212084;Onda;ES5;ES52;ES522;12084;184868909,527000010013580;77907,493654000005336;108,421401180999993
ES.IGN.SIGLIM34101212085;34101212085;Oropesa del Mar/Orpesa;ES5;ES52;ES522;12085;45533284,464299999177456;36179,236127399999532;26,617326809500000
ES.IGN.SIGLIM34101212087;34101212087;Palanques;ES5;ES52;ES522;12087;24949310,490100000053644;31152,199378799999977;14,321149061600000
ES.IGN.SIGLIM34101212088;34101212088;Pavías;ES5;ES52;ES522;12088;24565820,144099999219179;21939,149751100001595;14,411377099799999
ES.IGN.SIGLIM34101212089;34101212089;Peníscola/Peñíscola;ES5;ES52;ES522;12089;135979239,675999999046326;66277,352279900005669;78,874375289699998
ES.IGN.SIGLIM34101212090;34101212090;Pina de Montalgrao;ES5;ES52;ES522;12090;53940498,828900001943111;38626,394433100002061;31,603296321900000
ES.IGN.SIGLIM34101212091;34101212091;Portell de Morella;ES5;ES52;ES522;12091;85617340,716299995779991;60156,873786399999517;49,395092625099998
ES.IGN.SIGLIM34094343044;34094343044;La Sénia;ES5;ES51;ES514;43044;189197005,759000003337860;96791,593475100002252;108,627410506000004
ES.IGN.SIGLIM34101212092;34101212092;Puebla de Arenoso;ES5;ES52;ES522;12092;72773754,140000000596046;40127,530156599998008;42,527754582500002
ES.IGN.SIGLIM34101212093;34101212093;la Pobla de Benifassà;ES5;ES52;ES522;12093;236754606,877000004053116;77725,396622600004775;135,998886405000007
ES.IGN.SIGLIM34101212094;34101212094;la Pobla Tornesa;ES5;ES52;ES522;12094;44167521,275899998843670;35530,230129800002032;25,810088370599999
ES.IGN.SIGLIM34101212095;34101212095;Ribesalbes;ES5;ES52;ES522;12095;14603850,509500000625849;18386,755683999999746;8,553092823249999
ES.IGN.SIGLIM34101212096;34101212096;Rossell;ES5;ES52;ES522;12096;130188687,668999999761581;56862,785925500000303;74,925406002499997
ES.IGN.SIGLIM34101212097;34101212097;Sacañet;ES5;ES52;ES522;12097;51802880,418600000441074;37686,533202799997525;30,493443165399999
ES.IGN.SIGLIM34101212098;34101212098;la Salzadella;ES5;ES52;ES522;12098;86215156,978699997067451;52517,582319000001007;49,919887645700001
ES.IGN.SIGLIM34101212099;34101212099;Sant Jordi/San Jorge;ES5;ES52;ES522;12099;63251285,491999998688698;42244,121382999997877;36,493836407300002
ES.IGN.SIGLIM34101212100;34101212100;Sant Mateu;ES5;ES52;ES522;12100;111770962,552000001072884;45861,073407099996984;64,624269443000003
ES.IGN.SIGLIM34101212101;34101212101;San Rafael del Río;ES5;ES52;ES522;12101;36719308,067000001668930;32677,266002699998353;21,149879949999999
ES.IGN.SIGLIM34101212102;34101212102;Santa Magdalena de Pulpis;ES5;ES52;ES522;12102;114687120,660999998450279;48926,567660699998669;66,488875122799996
ES.IGN.SIGLIM34101212103;34101212103;la Serratella;ES5;ES52;ES522;12103;32387384,042899999767542;29936,547336399999040;18,812275008699999
ES.IGN.SIGLIM34101212104;34101212104;Segorbe;ES5;ES52;ES522;12104;179868404,479999989271164;76201,068537300001481;106,076552333999999
ES.IGN.SIGLIM34101212105;34101212105;Sierra Engarcerán;ES5;ES52;ES522;12105;140948453,377999991178513;56510,401683999996749;81,981390545799997
ES.IGN.SIGLIM34094343156;34094343156;Ulldecona;ES5;ES51;ES514;43156;220311585,724999994039536;89201,026290199995856;126,809635065999998
ES.IGN.SIGLIM34101212106;34101212106;Soneja;ES5;ES52;ES522;12106;49394050,977300003170967;42881,152687399997376;29,103283309500000
ES.IGN.SIGLIM34101212107;34101212107;Sot de Ferrer;ES5;ES52;ES522;12107;14656038,876700000837445;16734,183188800001517;8,639885068060000
ES.IGN.SIGLIM34101212108;34101212108;Sueras/Suera;ES5;ES52;ES522;12108;37856742,601499997079372;27950,524174700000003;22,218919713399998
ES.IGN.SIGLIM34101212109;34101212109;Tales;ES5;ES52;ES522;12109;24741871,096299998462200;27027,049388300001738;14,525146994900000
ES.IGN.SIGLIM34100303001;34100303001;l'Atzúbia;ES5;ES52;ES521;03001;24227684,713899999856949;23621,924747000000934;14,669598042800001
ES.IGN.SIGLIM34101212110;34101212110;Teresa;ES5;ES52;ES522;12110;33817386,309500001370907;28036,563694699998450;19,885599380300000
ES.IGN.SIGLIM34100303002;34100303002;Agost;ES5;ES52;ES521;03002;108793557,943000003695488;51110,383539100002963;66,637564371200000
ES.IGN.SIGLIM34100303003;34100303003;Agres;ES5;ES52;ES521;03003;42585133,655500002205372;26352,390755699998408;25,836671508500000
ES.IGN.SIGLIM34100303004;34100303004;Aigües;ES5;ES52;ES521;03004;30215459,834499999880791;26386,104544500001793;18,472966649000000
ES.IGN.SIGLIM34100303005;34100303005;Albatera;ES5;ES52;ES521;03005;99854806,429399996995926;44090,223563599996851;61,542701454300001
ES.IGN.SIGLIM34100303006;34100303006;Alcalalí;ES5;ES52;ES521;03006;23709897,046700000762939;27706,150396699998964;14,397373688800000
ES.IGN.SIGLIM34100303007;34100303007;Alcocer de Planes;ES5;ES52;ES521;03007;7233055,083080000244081;11764,451843500000905;4,387346343410000
ES.IGN.SIGLIM34100303008;34100303008;Alcoleja;ES5;ES52;ES521;03008;23917171,751600001007318;24610,328257000001031;14,559927270699999
ES.IGN.SIGLIM34100303009;34100303009;Alcoy/Alcoi;ES5;ES52;ES521;03009;213421021,370000004768372;75449,040811600003508;129,860653450000001
ES.IGN.SIGLIM34100303010;34100303010;Alfafara;ES5;ES52;ES521;03010;32592509,052700001746416;23884,858719700001529;19,777418001699999
ES.IGN.SIGLIM34100303011;34100303011;l'Alfàs del Pi;ES5;ES52;ES521;03011;32447634,422200001776218;28080,416599500000302;19,800339672100002
ES.IGN.SIGLIM34100303012;34100303012;Algorfa;ES5;ES52;ES521;03012;29660961,019699998199940;37142,780084999998508;18,356335447599999
ES.IGN.SIGLIM34100303013;34100303013;Algueña;ES5;ES52;ES521;03013;30013084,372699998319149;37691,337091900000814;18,433204801300000
ES.IGN.SIGLIM34100303014;34100303014;Alicante/Alacant;ES5;ES52;ES521;03014;328717776,412000000476837;184626,706686999998055;201,675648332000009
ES.IGN.SIGLIM34100303015;34100303015;Almoradí;ES5;ES52;ES521;03015;69046186,499799996614456;67966,713938100001542;42,721519844600003
ES.IGN.SIGLIM34100303016;34100303016;Almudaina;ES5;ES52;ES521;03016;14528994,251700000837445;15808,458626899999217;8,820414735180000
ES.IGN.SIGLIM34100303017;34100303017;l'Alqueria d'Asnar;ES5;ES52;ES521;03017;1785631,640270000090823;12257,997065100000327;1,083853121560000
ES.IGN.SIGLIM34100303018;34100303018;Altea;ES5;ES52;ES521;03018;57062844,422799997031689;44739,339795899999444;34,776085481800003
ES.IGN.SIGLIM34100303019;34100303019;Aspe;ES5;ES52;ES521;03019;114766319,268999993801117;49013,952670099999523;70,513653399299997
ES.IGN.SIGLIM34100303020;34100303020;Balones;ES5;ES52;ES521;03020;18513214,954500000923872;22040,692969499999890;11,245453443800001
ES.IGN.SIGLIM34100303021;34100303021;Banyeres de Mariola;ES5;ES52;ES521;03021;82680923,194000005722046;50387,638383700003033;50,276662101100001
ES.IGN.SIGLIM34100303022;34100303022;Benasau;ES5;ES52;ES521;03022;14863165,817500000819564;21034,232343700001366;9,040449776219999
ES.IGN.SIGLIM34100303023;34100303023;Beneixama;ES5;ES52;ES521;03023;57400981,589100003242493;34235,321943700000702;34,888271433500002
ES.IGN.SIGLIM34100303024;34100303024;Benejúzar;ES5;ES52;ES521;03024;15075795,584799999371171;19841,924027900000510;9,327529042200000
ES.IGN.SIGLIM34100303025;34100303025;Benferri;ES5;ES52;ES521;03025;20023145,512600000947714;21212,463843699999416;12,362299886300001
ES.IGN.SIGLIM34100303026;34100303026;Beniarbeig;ES5;ES52;ES521;03026;12212245,048399999737740;22603,160269600000902;7,402915648020000
ES.IGN.SIGLIM34100303027;34100303027;Beniardá;ES5;ES52;ES521;03027;25878047,311700001358986;27050,569633399998565;15,740066679100000
ES.IGN.SIGLIM34100303028;34100303028;Beniarrés;ES5;ES52;ES521;03028;33354279,367499999701977;26297,961051800000860;20,214472401399998
ES.IGN.SIGLIM34100303029;34100303029;Benigembla;ES5;ES52;ES521;03029;30384071,343699999153614;22551,653623599999264;18,454750399700000
ES.IGN.SIGLIM34100303030;34100303030;Benidoleig;ES5;ES52;ES521;03030;12337852,972100000828505;16870,000119299998914;7,484339816210000
ES.IGN.SIGLIM34100303031;34100303031;Benidorm;ES5;ES52;ES521;03031;63063323,215499997138977;50937,862848299999314;38,507697952299999
ES.IGN.SIGLIM34100303032;34100303032;Benifallim;ES5;ES52;ES521;03032;22479305,419900000095367;23339,246669500000280;13,688388218400000
ES.IGN.SIGLIM34100303033;34100303033;Benifato;ES5;ES52;ES521;03033;19513694,083900000900030;19918,556703300000663;11,880779438099999
ES.IGN.SIGLIM34100303034;34100303034;Benijófar;ES5;ES52;ES521;03034;7047578,249450000002980;11250,170897899999545;4,360258978970000
ES.IGN.SIGLIM34100303035;34100303035;Benilloba;ES5;ES52;ES521;03035;15685793,979499999433756;21155,495300599999609;9,538178600129999
ES.IGN.SIGLIM34100303036;34100303036;Benillup;ES5;ES52;ES521;03036;5564603,367999999783933;13665,802754899999854;3,378929537480000
ES.IGN.SIGLIM34100303037;34100303037;Benimantell;ES5;ES52;ES521;03037;62234006,046999998390675;52842,886034000002837;37,906202915500003
